EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2011-1-18,32,24,15,31,21,3,100,88,58,30.18,29.92,29.71,10,6,1,12,8,,0.00,8,Rain-Snow,127
2011-1-19,32,26,19,31,23,15,100,89,80,30.01,29.81,29.68,10,7,2,10,4,,0.00,8,Snow,293
2011-1-20,21,19,17,18,15,12,93,85,66,30.10,30.01,29.76,10,4,1,10,5,,0.00,8,Snow,273
2011-1-21,21,16,12,18,15,8,96,89,60,29.89,29.69,29.60,10,2,0,22,8,31,0.00,8,Fog-Snow,273
2011-1-22,16,8,0,9,6,-4,92,86,68,30.00,29.93,29.87,10,5,1,15,6,20,0.00,7,Snow,282
2011-1-23,7,-2,-15,4,-4,-20,92,78,57,30.43,30.07,29.86,10,7,2,20,4,25,0.00,5,Snow,288
2011-1-24,8,-6,-20,1,-13,-27,85,65,42,30.55,30.42,30.24,10,8,1,13,4,,0.00,3,Snow,101
2011-1-25,24,14,5,21,13,1,100,87,79,30.23,30.14,30.06,10,4,2,13,8,,0.00,8,Rain-Snow,128
2011-1-26,33,27,21,26,23,20,92,80,66,30.11,29.93,29.75,10,7,0,13,4,,0.12,8,,112
2011-1-27,30,27,24,27,24,20,100,88,66,29.85,29.81,29.75,10,6,1,18,5,,0.00,8,Snow,285
2011-1-28,30,26,23,27,24,21,100,91,80,29.85,29.82,29.77,8,4,2,13,2,18,0.00,8,Snow,114
2011-1-29,28,24,21,25,20,14,96,80,56,30.01,29.91,29.84,10,8,2,8,4,,0.09,8,Snow,290
2011-1-30,24,20,10,20,18,8,93,86,74,30.34,30.16,30.01,10,6,2,13,5,,0.00,8,Snow,285
2011-1-31,15,6,-2,12,-1,-8,88,66,41,30.61,30.49,30.32,10,10,8,10,5,,0.00,2,Snow,344
2011-2-1,19,14,10,16,10,0,93,82,56,30.46,30.34,30.22,10,5,0,9,6,,0.00,8,Fog-Snow,125
2011-2-2,28,20,12,27,18,8,93,87,77,30.20,29.88,29.63,10,4,1,28,11,36,0.00,8,Rain-Snow,156
2011-2-3,23,12,0,13,8,-3,92,79,63,30.39,30.30,30.10,10,10,3,13,6,,0.00,4,Snow,279
2011-2-4,25,8,-9,12,1,-13,87,68,44,30.30,30.16,30.03,10,9,2,13,2,,0.00,3,,274
2011-2-5,30,16,3,31,23,0,100,91,61,30.02,29.58,29.32,10,4,0,12,6,,0.00,7,Fog-Rain-Snow-Thunderstorm,143
2011-2-6,32,30,28,30,27,25,100,91,85,30.04,29.80,29.41,10,6,2,10,6,,0.00,8,Rain-Snow,280
2011-2-7,34,31,28,32,30,28,100,96,85,30.04,29.90,29.69,7,3,1,6,2,,0.18,8,Snow,106
2011-2-8,32,21,10,32,16,5,100,88,73,30.14,29.84,29.60,10,2,0,25,9,36,0.04,8,Fog-Snow,294
2011-2-9,25,14,3,9,6,-1,85,70,46,30.16,30.07,29.97,10,8,2,14,8,21,0.08,3,Snow,261
2011-2-10,17,6,-5,9,3,-9,92,78,52,30.13,30.04,29.99,10,7,1,15,5,22,0.00,5,Snow,280
2011-2-11,21,4,-14,10,-1,-18,87,70,43,30.16,30.09,29.95,10,10,8,9,2,,0.00,2,,109
2011-2-12,30,24,19,27,21,8,93,81,51,30.06,29.87,29.74,10,4,0,21,12,31,0.00,8,Fog-Snow,267
2011-2-13,42,28,15,33,20,10,93,78,58,30.05,29.87,29.62,10,8,1,10,7,,0.36,7,Rain-Snow,100
2011-2-14,46,35,21,34,28,11,93,73,46,30.06,29.57,29.35,10,8,4,28,14,33,1.37,7,Rain-Snow,289
2011-2-15,19,12,6,8,1,-3,73,60,37,30.51,30.39,30.11,10,10,10,22,13,29,0.00,1,,303
2011-2-16,37,24,12,26,14,1,79,58,40,30.40,30.20,30.10,10,10,10,12,7,,0.00,4,,114
2011-2-17,48,36,25,35,29,21,88,75,52,30.13,30.04,29.86,10,10,10,8,2,,0.00,4,Rain,121
2011-2-18,54,46,39,43,30,16,93,58,25,29.83,29.68,29.62,10,10,5,31,8,44,0.01,5,Rain,263
2011-2-19,34,23,12,30,18,4,100,85,67,30.24,29.83,29.64,10,2,0,28,21,46,0.00,8,Fog-Snow,294
2011-2-20,23,14,5,19,9,-2,100,71,57,30.38,30.21,30.01,10,7,1,17,8,23,0.00,4,Snow,279
2011-2-21,19,14,8,19,8,-7,100,73,47,30.13,29.98,29.90,10,6,1,13,4,,0.00,5,Snow,348
2011-2-22,19,8,-2,3,-3,-10,88,62,47,30.40,30.27,30.10,10,10,10,12,6,,0.00,0,,292
2011-2-23,28,10,-8,5,-1,-12,87,64,32,30.48,30.39,30.31,10,10,9,8,1,,0.06,0,Snow,256
2011-2-24,34,21,8,26,15,-1,82,65,47,30.29,30.09,29.95,10,10,9,10,5,,0.00,6,Snow,125
2011-2-25,33,26,18,31,26,17,100,86,69,30.04,29.66,29.45,10,4,0,22,5,29,0.04,8,Fog-Snow,355
2011-2-26,27,23,19,25,21,15,100,88,75,30.20,30.09,29.93,10,5,1,14,6,20,0.07,8,Snow,262
2011-2-27,36,30,24,28,26,22,100,88,57,30.02,29.95,29.86,10,6,1,12,5,,0.46,8,Snow,131
2011-2-28,37,32,28,37,31,18,100,91,61,30.02,29.70,29.44,10,7,2,25,12,37,0.81,8,Rain-Snow,130
2011-3-1,30,22,14,21,8,3,75,54,32,30.35,30.24,30.07,10,10,10,20,9,28,0.00,1,,346
2011-3-2,35,22,9,30,17,-5,93,66,48,30.53,30.12,29.95,10,7,0,32,13,43,0.01,7,Fog-Snow,286
2011-3-3,21,8,-4,1,-5,-10,76,52,30,30.75,30.68,30.56,10,10,9,6,3,,0.00,0,,309
2011-3-4,37,26,14,25,9,-1,64,47,38,30.67,30.53,30.40,10,10,10,17,10,23,0.00,4,,115
2011-3-5,48,41,34,40,36,27,96,78,66,30.40,30.17,29.95,10,10,7,13,9,20,0.15,8,Rain,133
2011-3-6,48,36,23,45,30,21,100,96,74,30.06,29.99,29.86,10,4,1,20,10,24,0.31,8,Rain-Snow,315
2011-3-7,26,17,8,21,18,8,100,93,75,30.44,30.05,29.85,10,4,0,20,12,30,0.00,6,Fog-Snow,299
2011-3-8,36,18,1,17,11,-1,100,70,37,30.62,30.57,30.46,10,10,10,10,2,,0.39,0,,110
2011-3-9,36,28,19,29,21,13,82,68,59,30.61,30.46,30.25,10,10,5,25,13,33,0.00,4,Snow,115
2011-3-10,39,36,32,37,33,28,100,92,81,30.27,30.09,29.81,10,9,5,25,16,37,0.68,8,Rain-Snow,109
2011-3-11,41,38,33,39,35,26,100,88,62,29.79,29.72,29.66,10,10,3,26,14,36,0.09,8,Rain,164
2011-3-12,37,34,30,34,31,27,100,97,75,29.82,29.77,29.73,10,6,2,12,5,,0.10,8,Rain-Snow,245
2011-3-13,35,32,28,36,32,28,100,99,87,30.26,30.07,29.80,10,8,2,17,10,22,0.02,8,Rain-Snow,278
2011-3-14,34,30,26,29,26,21,100,89,64,30.48,30.34,30.24,10,9,2,10,5,,0.01,8,Snow,300
2011-3-15,44,31,19,27,23,18,96,74,49,30.50,30.41,30.28,10,10,10,9,3,,0.00,0,,111
2011-3-16,41,34,30,39,35,30,100,99,92,30.24,30.11,30.00,10,6,2,9,6,,0.36,8,Rain-Snow,81
2011-3-17,57,40,24,40,31,25,100,88,45,30.20,30.13,29.88,10,4,0,9,1,,0.01,3,Fog,126
2011-3-18,55,48,41,48,38,33,100,65,45,30.03,29.86,29.70,10,10,8,30,12,38,0.03,5,Rain,287
2011-3-19,39,34,26,36,24,16,87,66,42,30.58,30.28,30.03,10,10,10,17,12,25,0.00,5,,298
2011-3-20,43,31,19,22,18,16,92,60,34,30.69,30.58,30.37,10,10,10,9,2,,0.00,1,,89
2011-3-21,39,34,32,38,32,17,100,92,43,30.36,29.99,29.84,10,4,0,17,9,26,0.43,8,Fog-Rain-Snow,115
2011-3-22,39,36,30,35,30,19,97,82,59,30.07,30.01,29.91,10,10,10,15,11,,0.00,7,,292
2011-3-23,33,30,26,25,20,13,96,75,56,30.03,29.84,29.74,10,6,0,12,4,,0.00,5,Fog-Snow,99
2011-3-24,37,26,15,24,18,12,100,71,41,29.98,29.82,29.71,10,9,0,18,4,,0.10,5,Fog-Snow,321
2011-3-25,30,26,23,21,13,6,85,59,36,30.03,29.99,29.94,10,10,4,21,10,28,0.00,5,Snow,287
2011-3-26,32,22,14,14,10,5,74,56,43,30.10,30.07,30.01,10,10,10,20,8,28,0.00,3,,297
2011-3-27,30,21,12,13,7,2,81,53,30,30.09,30.04,30.01,10,10,10,21,9,28,0.00,0,,295
2011-3-28,37,27,18,17,10,3,74,48,26,30.07,30.05,30.01,10,10,10,23,13,29,0.00,1,,287
2011-3-29,41,33,27,23,20,15,78,61,43,30.21,30.14,30.07,10,10,10,17,9,25,0.00,6,,288
2011-3-30,50,36,24,27,23,19,86,64,31,30.23,30.12,29.93,10,10,10,7,3,,0.00,3,,337
2011-3-31,42,38,35,37,33,24,100,84,55,29.93,29.83,29.72,10,10,7,9,4,16,0.03,8,Rain,104
2011-4-1,41,36,32,37,33,30,100,89,79,29.69,29.49,29.39,10,10,7,21,7,26,0.00,8,Rain,276
2011-4-2,50,38,28,34,28,18,100,72,30,29.70,29.52,29.45,10,10,8,23,10,29,0.03,6,Rain,287
2011-4-3,51,40,30,29,21,16,85,47,26,29.98,29.92,29.73,10,10,9,22,12,32,0.00,1,,308
2011-4-4,53,45,37,52,40,24,100,90,55,29.94,29.59,29.30,10,9,2,18,10,26,0.61,8,Rain,115
2011-4-5,52,40,28,50,34,21,100,92,66,29.77,29.44,29.25,10,8,2,28,15,37,0.19,7,Rain-Snow,282
2011-4-6,46,36,28,34,28,21,100,73,39,30.06,29.92,29.78,10,10,9,17,8,30,0.00,5,Rain-Snow,268
2011-4-7,51,38,25,33,25,18,100,70,32,30.22,30.12,30.04,10,9,4,14,2,,0.00,1,,301
2011-4-8,52,38,26,27,24,17,89,61,27,30.27,30.20,30.10,10,10,10,10,3,,0.00,0,,116
2011-4-9,62,44,28,37,31,24,85,63,35,30.23,30.12,30.02,10,10,10,7,1,,0.00,0,,127
2011-4-10,60,48,37,46,41,36,96,72,53,30.10,30.00,29.80,10,10,10,18,7,23,0.00,5,Rain,133
2011-4-11,81,68,54,57,50,38,84,63,40,29.80,29.56,29.39,10,10,10,30,12,37,0.00,6,Rain,186
2011-4-12,64,54,43,40,29,18,76,47,18,30.05,29.92,29.68,10,10,10,24,13,33,0.00,4,Rain,2
2011-4-13,46,44,42,45,42,36,100,93,66,30.04,29.95,29.90,10,8,4,13,6,21,0.66,8,Rain,87
2011-4-14,57,47,37,43,38,22,100,84,49,30.35,30.05,29.92,10,10,8,14,9,21,0.01,6,Rain,299
2011-4-15,55,40,26,23,19,11,78,43,19,30.50,30.41,30.33,10,10,10,10,5,16,0.00,0,,105
2011-4-16,45,40,37,40,28,15,96,64,36,30.32,29.95,29.58,10,9,2,30,17,46,0.67,5,Rain,112
2011-4-17,51,42,35,42,36,26,100,85,43,29.78,29.58,29.44,10,9,5,24,9,39,0.54,8,Rain-Snow,251
2011-4-18,42,38,35,36,29,24,100,75,53,30.07,29.97,29.79,10,10,6,15,9,23,0.02,7,Rain,275
2011-4-19,45,38,32,39,34,32,100,87,65,30.18,30.12,30.06,10,9,4,13,5,,0.08,6,Rain,90
2011-4-20,55,46,37,54,41,34,100,86,66,30.02,29.83,29.61,10,9,4,24,14,36,0.41,8,Rain-Thunderstorm,111
2011-4-21,41,36,27,34,28,25,92,69,55,30.42,30.18,29.97,10,10,4,28,17,41,0.01,7,Rain-Snow,290
2011-4-22,55,40,26,31,26,23,96,60,33,30.50,30.40,30.26,10,10,10,13,5,20,0.00,4,,122
2011-4-23,60,47,35,52,42,28,100,88,53,30.25,29.97,29.82,10,8,3,18,13,25,0.84,7,Rain,117
2011-4-24,52,47,39,52,45,40,100,88,71,30.10,30.02,29.89,10,9,5,7,3,,0.03,5,Rain,289
2011-4-25,57,46,36,52,46,36,100,91,64,30.12,30.06,29.97,10,8,2,14,2,,0.43,6,Rain-Thunderstorm,79
2011-4-26,79,64,51,64,58,51,100,90,62,29.93,29.85,29.74,10,9,1,31,8,40,0.73,5,Rain-Thunderstorm,103
2011-4-27,80,70,60,64,61,58,100,79,50,29.90,29.79,29.65,10,9,2,20,9,30,0.42,6,Rain-Thunderstorm,132
2011-4-28,75,60,46,65,53,37,100,71,37,29.76,29.59,29.46,10,9,6,24,10,36,0.47,5,Rain-Thunderstorm,168
2011-4-29,54,47,39,43,39,32,89,74,52,29.98,29.80,29.68,10,10,10,13,6,23,0.00,6,,291
2011-4-30,62,50,37,41,39,35,97,68,42,30.26,30.14,30.01,10,10,10,16,6,23,0.00,2,Rain,301
2011-5-1,70,54,37,40,36,31,93,53,28,30.30,30.23,30.12,10,10,10,16,6,21,0.00,0,,116
2011-5-2,62,56,48,54,47,39,94,74,48,30.21,30.14,30.04,10,10,9,13,8,16,0.00,8,Rain,125
2011-5-3,50,48,46,50,47,43,100,95,80,30.20,30.04,29.90,10,7,2,8,3,,1.00,8,Rain,284
2011-5-4,46,42,39,45,40,38,100,89,76,30.09,30.05,29.99,10,10,6,14,11,20,0.25,8,Rain,283
2011-5-5,57,47,37,41,33,22,100,65,27,30.09,29.99,29.88,10,10,10,22,10,32,0.01,2,,290
2011-5-6,66,49,32,44,35,29,89,55,30,29.90,29.84,29.78,10,10,10,16,3,22,0.00,2,,264
2011-5-7,64,54,44,45,41,36,89,64,41,29.91,29.86,29.83,10,10,10,12,5,21,0.00,4,Rain,298
2011-5-8,64,50,37,46,41,36,93,70,48,30.03,29.97,29.92,10,10,6,9,2,,0.00,5,,333
2011-5-9,66,55,44,38,36,33,76,49,31,30.12,30.06,30.00,10,10,10,16,5,24,0.00,2,,342
2011-5-10,73,54,37,40,36,31,93,54,25,30.12,30.06,29.99,10,10,10,12,3,,0.00,0,,222
2011-5-11,75,58,43,48,44,39,89,56,37,30.15,30.08,30.04,10,10,10,9,3,,0.00,1,,102
2011-5-12,79,63,48,50,46,42,86,53,30,30.10,30.00,29.90,10,10,10,8,5,,0.00,0,,123
2011-5-13,69,62,55,56,52,41,93,76,51,29.91,29.84,29.74,10,10,10,14,7,17,0.02,3,Rain,113
2011-5-14,64,60,57,61,57,53,93,87,78,29.78,29.73,29.68,10,10,5,7,5,,0.06,8,Rain,113
2011-5-15,60,56,53,58,55,51,100,95,90,29.68,29.63,29.60,10,6,2,9,4,,1.02,8,Rain,66
2011-5-16,57,53,51,55,53,51,100,97,93,29.93,29.78,29.65,10,6,2,8,4,,0.77,8,Rain,127
2011-5-17,64,57,51,58,54,51,100,90,77,30.02,29.97,29.93,10,9,4,17,6,28,0.03,7,Rain,109
2011-5-18,69,64,59,59,57,54,94,83,70,30.04,30.01,29.98,10,10,8,18,12,26,0.05,7,Rain,105
2011-5-19,73,65,57,60,58,57,100,88,62,30.03,30.00,29.96,10,7,0,18,9,36,3.18,7,Fog-Rain,108
2011-5-20,72,62,53,61,57,54,100,91,63,30.01,29.98,29.93,10,6,0,20,3,31,1.36,6,Fog-Rain,305
2011-5-21,73,64,55,64,59,55,100,91,69,30.03,30.00,29.97,10,6,1,9,4,,0.06,5,Rain,280
2011-5-22,77,65,55,66,59,55,97,84,64,30.09,30.02,29.96,10,9,2,12,5,18,0.11,4,Rain,123
2011-5-23,71,65,60,63,58,55,93,81,68,29.97,29.84,29.70,10,10,2,14,9,22,0.19,7,Rain,129
2011-5-24,75,65,54,63,60,52,94,80,61,29.91,29.74,29.66,10,10,7,17,7,26,0.08,5,Rain,280
2011-5-25,73,62,51,58,54,51,100,78,55,30.01,29.94,29.85,10,10,10,8,4,,0.00,4,,312
2011-5-26,88,76,63,67,64,56,100,77,43,29.89,29.80,29.72,10,9,2,20,8,28,0.63,4,Rain-Thunderstorm,174
2011-5-27,81,72,63,65,63,61,97,81,58,30.00,29.93,29.86,10,9,3,14,5,,0.26,3,Rain,71
2011-5-28,81,72,63,66,63,59,100,81,48,30.02,29.95,29.91,10,9,5,12,6,22,0.26,4,Rain,119
2011-5-29,86,76,68,68,65,62,87,69,51,30.03,29.98,29.95,10,10,5,9,6,16,0.03,4,Rain,186
2011-5-30,82,72,63,66,62,49,100,77,34,30.19,30.09,29.97,10,8,2,15,5,34,0.28,3,Rain-Thunderstorm,273
2011-5-31,88,74,59,71,63,56,93,70,48,30.22,30.16,30.06,10,10,9,9,2,,0.00,0,,155
2011-6-1,87,76,64,70,59,45,91,59,25,30.06,29.93,29.81,10,9,6,21,8,32,0.00,2,,273
2011-6-2,62,54,46,49,42,38,80,59,46,30.09,29.98,29.86,10,10,10,23,13,32,0.00,4,,292
2011-6-3,69,56,42,45,39,31,96,60,27,30.16,30.13,30.09,10,10,10,23,8,29,0.00,0,,296
2011-6-4,68,58,48,52,48,44,90,69,49,30.15,30.09,30.02,10,10,10,13,3,18,0.00,2,,257
2011-6-5,70,61,52,59,55,49,96,78,64,30.05,30.03,30.01,10,10,7,8,2,,0.00,5,,266
2011-6-6,80,67,55,60,56,52,100,82,40,30.09,30.04,29.98,10,6,0,10,1,,0.00,3,Fog,278
2011-6-7,84,69,54,64,58,53,97,68,41,29.99,29.90,29.82,10,10,9,14,3,18,0.00,0,,128
2011-6-8,91,76,62,68,63,56,94,71,42,29.91,29.87,29.80,10,10,8,15,4,22,0.00,1,,245
2011-6-9,88,77,66,69,62,57,87,64,43,29.94,29.83,29.79,10,10,8,22,8,29,0.00,1,,331
2011-6-10,75,66,60,63,56,54,84,71,50,30.07,30.02,29.93,10,10,10,12,6,,0.00,6,,316
2011-6-11,68,64,59,61,58,54,96,88,70,30.01,29.94,29.90,10,9,2,17,9,23,0.40,8,Rain,104
2011-6-12,68,62,55,61,57,51,100,87,65,29.92,29.87,29.84,10,9,2,13,7,18,0.27,7,Rain,125
2011-6-13,66,57,50,58,53,48,97,82,63,29.93,29.91,29.88,10,10,10,12,4,,0.03,7,Rain,276
2011-6-14,70,61,53,55,52,43,100,80,42,29.99,29.94,29.89,10,10,8,13,4,26,0.04,6,Rain,345
2011-6-15,81,64,48,59,53,48,97,71,40,29.99,29.92,29.86,10,10,10,17,6,25,0.00,1,,295
2011-6-16,84,68,53,57,52,48,96,61,31,29.93,29.89,29.85,10,10,9,12,3,,0.00,1,,142
2011-6-17,75,68,62,64,61,57,97,80,57,29.90,29.87,29.82,10,9,4,8,4,,0.15,5,Rain-Thunderstorm,129
2011-6-18,81,68,55,63,58,55,100,82,45,29.91,29.87,29.82,10,7,0,14,2,20,0.01,3,Fog,285
2011-6-19,77,64,52,52,46,43,83,53,33,29.93,29.90,29.87,10,10,10,12,3,,0.00,0,,343
2011-6-20,82,66,51,55,50,47,89,62,31,29.95,29.90,29.87,10,10,10,7,2,,0.00,0,,118
2011-6-21,84,69,54,61,54,49,93,58,29,29.95,29.91,29.87,10,10,10,8,3,,0.00,1,,106
2011-6-22,73,66,60,66,62,54,100,88,55,29.95,29.87,29.80,10,7,1,16,9,28,1.01,7,Rain-Thunderstorm,103
2011-6-23,78,70,66,70,66,64,100,91,78,29.81,29.73,29.67,10,8,1,15,8,,0.61,6,Rain,112
2011-6-24,79,71,64,69,65,63,100,91,69,29.72,29.66,29.57,10,7,0,17,9,29,0.84,7,Fog-Rain-Thunderstorm,124
2011-6-25,72,66,62,64,62,59,100,88,68,29.90,29.79,29.70,10,9,2,10,4,,0.07,8,Rain,269
2011-6-26,70,65,60,63,60,58,94,84,70,30.04,29.96,29.89,10,10,7,13,4,,0.00,7,Rain,275
2011-6-27,81,69,57,65,59,55,100,86,45,30.09,30.04,29.94,10,5,0,7,1,,0.00,4,Fog,108
2011-6-28,82,73,64,70,65,61,97,83,60,29.95,29.83,29.74,10,8,0,24,6,32,0.95,4,Fog-Rain,126
2011-6-29,66,63,60,64,57,54,90,83,75,29.96,29.90,29.83,10,10,5,17,6,24,0.01,8,Rain,287
2011-6-30,73,64,54,57,52,43,96,67,34,30.02,29.99,29.96,10,10,10,17,7,23,0.00,3,,294
2011-7-1,79,64,50,61,55,49,96,71,50,30.09,30.04,30.00,10,10,10,10,2,,0.00,2,,282
2011-7-2,84,70,55,64,58,54,97,68,37,30.12,30.02,29.89,10,10,10,9,3,,0.00,1,,150
2011-7-3,82,72,62,70,64,57,93,72,52,29.88,29.85,29.81,10,10,7,13,4,,0.00,5,,278
2011-7-4,82,68,55,60,57,52,97,69,40,29.92,29.87,29.84,10,10,9,15,4,23,0.00,0,,287
2011-7-5,82,66,51,63,56,49,93,69,41,29.97,29.94,29.91,10,10,10,13,3,,0.00,0,,310
2011-7-6,88,74,60,66,62,57,93,73,40,29.95,29.89,29.83,10,9,1,20,4,39,0.22,2,Rain,212
2011-7-7,80,70,59,62,58,53,100,73,40,29.99,29.96,29.91,10,9,1,13,2,17,0.00,1,,332
2011-7-8,82,70,59,68,61,56,90,75,55,29.95,29.86,29.79,10,10,10,10,3,,0.00,1,Rain,118
2011-7-9,79,68,59,62,58,52,97,71,42,30.04,29.93,29.80,10,10,8,14,4,16,0.00,1,,324
2011-7-10,86,70,57,68,59,55,93,68,39,30.09,30.03,29.97,10,10,10,9,3,,0.00,0,,155
2011-7-11,91,77,64,69,64,60,90,69,39,29.97,29.85,29.67,10,9,6,9,3,,0.00,2,,155
2011-7-12,86,76,68,69,66,59,87,72,46,29.77,29.72,29.67,10,10,6,20,8,26,0.00,6,,286
2011-7-13,81,70,61,64,59,54,93,74,40,29.98,29.83,29.76,10,10,10,23,5,33,0.01,2,Rain,314
2011-7-14,82,68,55,57,53,48,93,65,34,30.09,30.05,29.99,10,10,10,8,2,18,0.00,0,,311
2011-7-15,82,68,54,57,54,52,97,62,34,30.13,30.09,30.05,10,10,10,7,2,,0.00,1,,355
2011-7-16,88,71,55,64,56,52,93,62,30,30.15,30.11,30.07,10,10,10,8,3,16,0.00,0,,163
2011-7-17,90,74,59,67,60,57,93,63,34,30.14,30.07,30.00,10,10,8,15,3,24,0.00,0,,270
2011-7-18,82,74,66,70,68,65,100,85,62,30.00,29.93,29.84,10,7,0,22,4,28,0.32,5,Fog-Rain,289
2011-7-19,82,72,63,67,65,62,100,84,56,29.91,29.87,29.84,10,7,0,7,1,,0.00,2,Fog,159
2011-7-20,90,77,64,68,66,62,97,71,42,29.89,29.84,29.77,10,8,7,13,4,21,0.00,0,,198
2011-7-21,99,85,71,76,72,67,90,65,40,29.78,29.70,29.64,10,9,5,22,6,29,0.00,1,,269
2011-7-22,93,83,73,75,67,59,85,61,34,29.90,29.85,29.73,10,10,9,13,7,18,0.00,0,,300
2011-7-23,90,80,70,72,68,64,87,70,48,29.96,29.92,29.88,10,10,10,14,4,17,0.00,2,Rain,278
2011-7-24,88,78,66,68,61,53,90,61,33,29.98,29.95,29.91,10,10,10,16,4,18,0.00,1,,328
2011-7-25,75,66,60,66,61,56,97,84,59,29.96,29.85,29.73,10,8,2,14,5,20,0.61,4,Rain,82
2011-7-26,79,72,61,66,62,53,100,82,42,29.79,29.73,29.66,10,8,1,21,4,30,0.02,5,Rain,276
2011-7-27,81,69,59,62,60,57,93,76,50,30.04,29.92,29.81,10,10,5,13,3,17,0.03,4,Rain,288
2011-7-28,81,70,60,66,62,58,96,74,56,30.06,30.02,29.97,10,10,10,9,4,,0.00,4,Rain,131
2011-7-29,80,72,66,73,70,64,94,90,82,29.97,29.86,29.77,10,7,2,14,6,16,0.18,7,Rain,270
2011-7-30,84,75,64,70,63,57,96,76,41,30.06,29.97,29.88,10,10,9,17,6,23,0.00,3,,274
2011-7-31,86,72,61,67,62,59,93,71,41,30.10,30.02,29.96,10,10,8,12,4,21,0.00,0,,260
2011-8-1,88,76,64,68,63,56,93,68,39,29.97,29.87,29.78,10,10,7,18,5,25,0.00,2,,287
2011-8-2,84,70,59,65,59,53,96,68,37,29.82,29.78,29.74,10,10,10,18,6,29,0.00,1,,297
2011-8-3,80,67,57,65,61,55,94,82,54,29.79,29.74,29.70,10,9,2,10,5,,0.19,4,Rain,103
2011-8-4,84,73,64,66,63,61,94,76,47,30.01,29.92,29.81,10,10,10,8,3,,0.05,4,,92
2011-8-5,86,72,61,68,63,59,93,74,49,30.09,30.04,30.00,10,10,7,7,1,,0.00,1,,76
2011-8-6,78,72,68,70,68,65,100,90,71,30.02,29.90,29.81,10,5,1,10,6,22,0.38,7,Rain,109
2011-8-7,84,76,68,72,69,66,97,85,58,29.82,29.70,29.58,10,8,2,7,1,,0.10,7,Rain,252
2011-8-8,82,75,68,72,67,62,100,82,54,29.70,29.63,29.57,10,7,2,13,4,17,0.00,5,,313
2011-8-9,73,68,62,67,64,60,100,87,76,29.70,29.55,29.46,10,8,1,14,5,23,0.34,5,Rain,187
2011-8-10,80,72,64,65,63,58,97,84,50,29.71,29.59,29.54,10,10,2,14,5,25,0.04,6,Rain,267
